customer_id,passed_funnel,city,shipping_state,shipping_zipcode,first_activity_at,attribution_channel,vendor,leadscore,q_age,q_apply,q_braces,q_budget,q_changes,q_clear_aligners,q_conditions,q_conditions1,q_conditions2,q_conditions3,q_dental_concerns,q_describe_teeth,q_finance_options,q_fsa_hsa,q_fsa_hsa_monthly,q_goals,q_happy,q_how_hear,q_hesitations,q_how_urgent,q_invisible_aligners,q_last_ortho,q_long,q_monthly,q_options_considering,q_ortho_checkup,q_referral,q_severity,q_teeth_spacing,q_urgency,q_whitening,q_why_interested,q_years_considering,q_zip,survey_started_at
339270,TRUE,Brooklyn park,MN,55443,52:57.2,organic social,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264573,TRUE,Altus,OK,73521,48:07.2,paid search,google search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317306,FALSE,,,,56:07.9,youtube,youtube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324583,FALSE,Bronx,NY,10457,41:56.5,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303431,FALSE,,,,38:14.4,organic search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287452,TRUE,Haddonfield,NJ,8033,45:19.5,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268552,FALSE,,,,03:10.1,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274953,FALSE,,,,58:33.5,paid social,facebook/instagram,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271014,FALSE,,,,13:07.2,paid search,google search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336165,TRUE,Glenside,PA,19038,35:07.0,paid social,facebook/instagram,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313992,FALSE,Boston ,MA,2119,19:47.7,paid search,google search,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270584,FALSE,Duncanville,TX,75116,30:07.9,organic search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
